RANK,SEASON,LEAGUE,AGE,HEIGHT,WEIGHT,G,MP,PER_GAME_FG,PER_GAME_FGA,PER_GAME_3P,PER_GAME_3PA,PER_GAME_FT,PER_GAME_FTA,PER_GAME_ORB,PER_GAME_DRB,PER_GAME_TRB,PER_GAME_AST,PER_GAME_STL,PER_GAME_BLK,PER_GAME_TOV,PER_GAME_PF,PER_GAME_PTS,FG%,3P%,FT%,PACE,eFG%,TOV%,ORB%,FT/FGA,ORTG,TEAM,PLAYOFF_TEAM,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES,AVERAGE_AGE,W,L,W/L%,PW,PL,MOV,SOS,SRS,DRTG,NRTG,FT_RATE,3PA_RATE,TS%,OFFENSIVE_EFG%,OFFENSIVE_TOV%,OFFENSIVE_ORB%,OFFENSIVE_FT/FGA,DEFENSIVE_eFG%,DEFENSIVE_TOV%,DEFENSIVE_DRB%,DEFENSIVE_FT/FGA,ARENA,TOTAL_ATTENDANCE,ATTENDANCE/G,PER_100_FG,PER_100_FGA,PER_100_3P,PER_100_3PA,PER_100_FT,PER_100_FTA,PER_100_ORB,PER_100_DRB,PER_100_TRB,PER_100_AST,PER_100_STL,PER_100_BLK,PER_100_TOV,PER_100_PF,PER_100_PTS,3PT%,EFG%
1,2018-2019,NBA,26.3,6-7,218.0,1230,241.6,41.1,89.2,11.4,32.0,17.7,23.1,10.3,34.8,45.2,24.6,7.6,5.0,14.1,20.9,111.2,0.461,0.355,0.7659999999999999,100.0,0.524,12.4,22.9,0.198,110.4,League Average,0.0,13.5,0.6409999999999999,0.292,0.162,0.096,0.092,0.359,0.52,0.6579999999999999,0.4,0.413,0.401,0.355,0.513,0.058,380.0,0.278,1113.0,0.823,0.214,0.383,15.7,0.5,26.4,,,,41.0,41.0,0.0,0.0,0.0,110.4,,0.259,0.359,0.56,0.524,12.4,22.9,0.198,0.524,12.4,77.1,0.198,,732148.0,17853.0,40.8,88.6,11.3,31.8,17.6,22.9,10.3,34.6,44.8,24.4,7.6,4.9,14.0,20.8,110.4,0.355,0.524
2,2017-2018,NBA,26.4,6-7,219.0,1230,241.4,39.6,86.1,10.5,29.0,16.6,21.7,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3,0.46,0.36200000000000004,0.767,97.3,0.521,13.0,22.3,0.193,108.6,League Average,0.0,13.2,0.6629999999999999,0.281,0.156,0.106,0.12,0.337,0.51,0.6579999999999999,0.394,0.415,0.4,0.362,0.499,0.053,331.0,0.273,1064.0,0.83,0.208,0.394,17.5,0.2,26.6,,,,41.0,41.0,0.0,0.0,0.0,108.6,,0.252,0.337,0.556,0.521,13.0,22.3,0.193,0.521,13.0,77.7,0.193,,737485.0,17989.0,40.5,87.9,10.7,29.6,17.0,22.1,9.9,34.5,44.4,23.7,7.9,4.9,14.6,20.3,108.6,0.36200000000000004,0.521
3,2016-2017,NBA,26.6,6-7,220.0,1230,241.6,39.0,85.4,9.7,27.0,17.8,23.1,10.1,33.4,43.5,22.6,7.7,4.7,14.0,19.9,105.6,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8,League Average,0.0,13.3,0.684,0.29,0.152,0.099,0.142,0.316,0.503,0.631,0.414,0.412,0.403,0.358,0.495,0.051,322.0,0.25,994.0,0.835,0.228,0.388,16.8,0.3,26.6,,,,41.0,41.0,0.0,0.0,0.0,108.8,,0.271,0.316,0.552,0.514,12.7,23.3,0.209,0.514,12.7,76.7,0.209,,733247.0,17880.0,40.2,88.0,9.9,27.8,18.4,23.8,10.4,34.4,44.8,23.3,7.9,4.9,14.4,20.5,108.8,0.358,0.514
4,2015-2016,NBA,26.7,6-7,221.0,1230,241.8,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,7.8,5.0,14.4,20.3,102.7,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4,League Average,0.0,12.5,0.715,0.293,0.158,0.103,0.162,0.285,0.491,0.624,0.396,0.405,0.398,0.354,0.51,0.048,304.0,0.251,982.0,0.836,0.248,0.377,14.7,0.5,26.8,,,,41.0,41.0,0.0,0.0,0.0,106.4,,0.276,0.285,0.541,0.502,13.2,23.8,0.209,0.502,13.2,76.2,0.209,,732555.0,17866.0,39.6,87.6,8.8,25.0,18.3,24.2,10.8,34.6,45.3,23.1,8.1,5.1,14.9,21.0,106.4,0.354,0.502
5,2014-2015,NBA,26.7,6-7,222.0,1230,242.0,37.5,83.6,7.8,22.4,17.1,22.8,10.9,32.4,43.3,22.0,7.7,4.8,14.4,20.2,100.0,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6,League Average,0.0,12.8,0.732,0.28800000000000003,0.165,0.103,0.175,0.268,0.485,0.628,0.383,0.403,0.394,0.35,0.52,0.047,293.0,0.228,903.0,0.843,0.253,0.387,14.4,0.4,26.8,,,,41.0,41.0,0.0,0.0,0.0,105.6,,0.273,0.268,0.534,0.496,13.3,25.1,0.205,0.496,13.3,74.9,0.205,,729877.0,17814.0,39.6,88.3,8.3,23.7,18.1,24.1,11.5,34.2,45.7,23.3,8.2,5.1,15.2,21.4,105.6,0.35,0.496
6,2013-2014,NBA,26.5,6-7,223.0,1230,242.0,37.7,83.0,7.7,21.5,17.8,23.6,10.9,31.8,42.7,22.0,7.7,4.7,14.6,20.7,101.0,0.45399999999999996,0.36,0.7559999999999999,93.9,0.501,13.6,25.5,0.215,106.6,League Average,0.0,12.8,0.741,0.28600000000000003,0.16899999999999998,0.105,0.18,0.259,0.488,0.636,0.39,0.401,0.395,0.36,0.518,0.048,301.0,0.229,909.0,0.8370000000000001,0.248,0.39,14.8,0.5,26.6,,,,41.0,41.0,0.0,0.0,0.0,106.7,,0.284,0.259,0.541,0.501,13.6,25.5,0.215,0.501,13.6,74.5,0.215,,713714.0,17407.0,39.8,87.6,8.2,22.7,18.8,24.9,11.5,33.6,45.1,23.2,8.1,5.0,15.5,21.9,106.6,0.36,0.501
7,2012-2013,NBA,26.7,6-7,223.0,1229,241.9,37.1,82.0,7.2,20.0,16.7,22.2,11.2,31.0,42.1,22.1,7.8,5.1,14.6,19.8,98.1,0.45299999999999996,0.359,0.753,92.0,0.496,13.7,26.5,0.204,105.8,League Average,0.0,12.6,0.757,0.293,0.16399999999999998,0.107,0.193,0.243,0.483,0.631,0.381,0.395,0.393,0.359,0.535,0.052000000000000005,318.0,0.23,891.0,0.851,0.268,0.39,14.0,0.3,26.7,,,,41.0,41.0,0.0,0.0,0.0,105.9,,0.27,0.243,0.535,0.496,13.7,26.5,0.204,0.496,13.7,73.5,0.204,,710653.0,17346.0,40.1,88.5,7.7,21.5,18.0,23.9,12.0,33.4,45.4,23.9,8.4,5.5,15.7,21.4,105.8,0.359,0.496
8,2011-2012,NBA,26.6,6-7,223.0,990,241.9,36.5,81.4,6.4,18.4,16.9,22.5,11.4,30.8,42.2,21.0,7.7,5.1,14.6,19.6,96.3,0.44799999999999995,0.349,0.752,91.3,0.48700000000000004,13.8,27.0,0.20800000000000002,104.6,League Average,0.0,12.5,0.774,0.287,0.16899999999999998,0.11,0.208,0.226,0.477,0.634,0.378,0.388,0.388,0.349,0.518,0.05,244.0,0.226,711.0,0.843,0.261,0.376,10.1,0.3,26.7,,,,33.0,33.0,0.0,0.0,0.0,104.6,,0.276,0.226,0.527,0.487,13.8,27.0,0.208,0.487,13.8,73.0,0.208,,570035.0,17274.0,39.6,88.5,7.0,20.0,18.4,24.4,12.4,33.5,45.8,22.8,8.3,5.5,15.8,21.3,104.6,0.349,0.48700000000000004
9,2010-2011,NBA,26.6,6-7,223.0,1230,241.9,37.2,81.2,6.5,18.0,18.6,24.4,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6,0.45899999999999996,0.358,0.763,92.1,0.498,13.4,26.4,0.22899999999999998,107.3,League Average,0.0,12.6,0.778,0.276,0.17800000000000002,0.11,0.214,0.222,0.487,0.65,0.392,0.398,0.403,0.358,0.518,0.049,297.0,0.222,883.0,0.86,0.27,0.394,15.7,0.5,26.7,,,,41.0,41.0,0.0,0.0,0.0,107.3,,0.3,0.222,0.541,0.498,13.4,26.4,0.229,0.498,13.4,73.6,0.229,,710241.0,17321.0,40.1,87.5,7.0,19.4,20.0,26.3,11.8,32.8,44.6,23.2,7.9,5.2,15.4,22.3,107.3,0.358,0.498
10,2009-2010,NBA,26.6,6-7,222.0,1230,241.7,37.7,81.7,6.4,18.1,18.6,24.5,11.0,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6,League Average,0.0,12.2,0.778,0.32,0.129,0.11,0.218,0.222,0.4920000000000001,0.613,0.421,0.4,0.402,0.355,0.505,0.048,293.0,0.253,961.0,0.847,0.258,0.392,15.9,0.6,26.8,,,,41.0,41.0,0.0,-0.01,-0.01,107.6,,0.3,0.222,0.5429999999999999,0.501,13.3,26.3,0.228,0.501,13.3,73.7,0.228,,703627.0,17162.0,40.4,87.5,6.9,19.4,19.9,26.3,11.7,32.9,44.7,22.8,7.7,5.2,15.2,22.3,107.6,0.355,0.501
11,2008-2009,NBA,26.6,6-7,221.0,1230,241.7,37.1,80.9,6.6,18.1,19.1,24.7,11.0,30.3,41.3,21.0,7.3,4.8,14.0,21.0,100.0,0.45899999999999996,0.36700000000000005,0.7709999999999999,91.7,0.5,13.3,26.7,0.23600000000000002,108.3,League Average,0.0,12.4,0.7759999999999999,0.314,0.124,0.111,0.227,0.224,0.485,0.602,0.412,0.395,0.407,0.3670000000000001,0.501,0.051,312.0,0.247,898.0,0.8590000000000001,0.274,0.395,14.8,0.3,26.8,,,,41.0,41.0,0.0,0.0,0.0,108.3,,0.306,0.224,0.544,0.5,13.3,26.7,0.236,0.5,13.3,73.3,0.236,,718309.0,17520.0,40.2,87.7,7.2,19.6,20.7,26.8,12.0,32.8,44.7,22.7,7.9,5.2,15.2,22.8,108.3,0.36700000000000005,0.5
12,2007-2008,NBA,26.8,6-7,220.0,1230,241.5,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42.0,21.8,7.3,4.7,14.1,21.0,99.9,0.457,0.36200000000000004,0.755,92.4,0.49700000000000005,13.2,26.7,0.231,107.5,League Average,0.0,12.5,0.778,0.308,0.124,0.111,0.235,0.222,0.484,0.607,0.408,0.391,0.409,0.362,0.523,0.051,309.0,0.24,889.0,0.867,0.264,0.395,15.6,0.3,27.0,,,,41.0,41.0,0.0,0.0,0.0,107.5,,0.306,0.222,0.54,0.4970000000000001,13.2,26.7,0.231,0.4970000000000001,13.2,73.3,0.231,,713186.0,17395.0,40.1,87.7,7.1,19.5,20.3,26.8,12.0,33.1,45.2,23.4,7.8,5.1,15.2,22.6,107.5,0.36200000000000004,0.49700000000000005
13,2006-2007,NBA,26.6,6-7,219.0,1230,242.2,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,0.45799999999999996,0.358,0.752,91.9,0.496,14.2,27.1,0.24600000000000002,106.5,League Average,0.0,12.2,0.787,0.314,0.131,0.113,0.229,0.213,0.485,0.61,0.411,0.392,0.404,0.358,0.527,0.046,277.0,0.244,886.0,0.863,0.271,0.384,12.6,0.3,26.7,,,,41.0,41.0,0.0,0.0,0.0,106.5,,0.327,0.213,0.541,0.496,14.2,27.1,0.246,0.496,14.2,72.9,0.246,,728036.0,17760.0,39.4,85.9,6.5,18.3,21.1,28.1,12.0,32.3,44.3,22.9,7.8,5.0,16.3,24.0,106.5,0.358,0.496
14,2005-2006,NBA,26.5,6-7,220.0,1230,242.1,35.8,79.0,5.7,16.0,19.6,26.3,11.2,29.8,41.0,20.6,7.2,4.7,14.4,22.8,97.0,0.45399999999999996,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2,League Average,0.0,12.2,0.7979999999999999,0.309,0.133,0.119,0.236,0.202,0.478,0.601,0.4,0.391,0.405,0.358,0.523,0.049,288.0,0.239,836.0,0.851,0.27,0.39,12.4,0.3,26.6,,,,41.0,41.0,0.0,0.0,0.0,106.2,,0.333,0.202,0.536,0.49,13.7,27.3,0.248,0.49,13.7,72.7,0.248,,719853.0,17571.0,39.2,86.5,6.3,17.5,21.5,28.8,12.2,32.6,44.8,22.6,7.8,5.1,15.8,24.9,106.2,0.358,0.49
15,2004-2005,NBA,26.9,6-7,220.0,1230,241.9,35.9,80.3,5.6,15.8,19.7,26.1,12.0,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,0.447,0.35600000000000004,0.7559999999999999,90.9,0.48200000000000004,13.6,28.7,0.245,106.1,League Average,0.0,12.1,0.804,0.304,0.135,0.129,0.236,0.196,0.47,0.596,0.391,0.383,0.4,0.35600000000000004,0.544,0.051,305.0,0.231,806.0,0.8540000000000001,0.272,0.384,12.1,0.1,27.1,,,,41.0,41.0,0.0,0.0,0.0,106.1,,0.324,0.196,0.529,0.482,13.6,28.7,0.245,0.482,13.6,71.3,0.245,,709883.0,17314.0,39.2,87.7,6.1,17.2,21.5,28.4,13.1,32.6,45.7,23.2,8.2,5.3,15.8,24.7,106.1,0.35600000000000004,0.48200000000000004
16,2003-2004,NBA,27.0,6-7,219.0,1189,241.7,35.0,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,7.9,5.1,15.0,21.4,93.4,0.439,0.34700000000000003,0.752,90.1,0.47100000000000003,14.2,28.6,0.228,102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,88.0,5.7,16.4,20.1,26.7,13.3,33.2,46.5,23.5,8.7,5.6,16.5,23.6,102.9,0.34700000000000003,0.47100000000000003
17,2002-2003,NBA,27.2,6-7,219.0,1189,242.0,35.7,80.8,5.1,14.7,18.5,24.4,12.0,30.3,42.3,21.5,7.9,5.0,14.9,21.8,95.1,0.442,0.349,0.758,91.0,0.474,14.0,28.5,0.22899999999999998,103.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,88.1,5.6,16.0,20.2,26.6,13.1,33.0,46.1,23.4,8.7,5.5,16.3,23.7,103.6,0.349,0.474
18,2001-2002,NBA,27.4,6-7,217.0,1189,241.7,36.2,81.3,5.2,14.7,17.9,23.8,12.2,30.2,42.4,21.9,7.8,5.2,14.5,21.2,95.5,0.445,0.354,0.752,90.7,0.47700000000000004,13.6,28.9,0.221,104.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,89.0,5.7,16.1,19.6,26.1,13.4,33.0,46.4,24.0,8.5,5.7,15.8,23.2,104.5,0.354,0.47700000000000004
19,2000-2001,NBA,27.7,6-7,216.0,1189,242.0,35.7,80.6,4.8,13.7,18.6,24.9,12.0,30.5,42.5,21.8,7.8,5.3,15.0,22.3,94.8,0.44299999999999995,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,87.6,5.3,14.9,20.2,27.0,13.0,33.1,46.1,23.7,8.5,5.7,16.4,24.3,103.0,0.354,0.473
20,1999-1900,NBA,27.8,6-7,216.0,1189,241.5,36.8,82.1,4.8,13.7,19.0,25.3,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5,0.449,0.353,0.75,93.1,0.478,14.2,28.9,0.231,104.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,87.6,5.2,14.6,20.2,27.0,13.3,32.6,45.8,23.9,8.5,5.5,16.5,24.9,104.1,0.353,0.478
21,1998-1999,NBA,27.9,6-7,215.0,725,241.8,34.2,78.2,4.5,13.2,18.8,25.8,12.6,29.1,41.7,20.7,8.4,5.0,15.3,22.2,91.6,0.43700000000000006,0.33899999999999997,0.728,88.9,0.466,14.6,30.2,0.24,102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,87.3,5.0,14.7,21.0,28.8,14.0,32.4,46.5,23.1,9.3,5.5,17.1,24.8,102.2,0.33899999999999997,0.466
22,1997-1998,NBA,27.7,6-7,214.0,1189,241.9,35.9,79.7,4.4,12.7,19.4,26.3,13.1,28.5,41.5,22.0,8.4,5.1,15.5,22.4,95.6,0.45,0.34600000000000003,0.737,90.3,0.478,14.5,31.4,0.243,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,87.6,4.8,14.0,21.3,28.9,14.3,31.3,45.7,24.2,9.2,5.6,17.0,24.6,105.0,0.34600000000000003,0.478
23,1996-1997,NBA,27.7,6-7,213.0,1189,241.9,36.1,79.3,6.0,16.8,18.7,25.3,12.7,28.4,41.1,22.0,8.2,4.9,15.7,22.1,96.9,0.455,0.36,0.738,90.1,0.493,14.8,30.8,0.23600000000000002,106.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,87.3,6.7,18.5,20.6,27.9,13.9,31.3,45.2,24.3,9.0,5.4,17.2,24.3,106.7,0.36,0.493
