RANK,SEASON,LEAGUE,AGE,HEIGHT,WEIGHT,G,PER_100_FG,PER_100_FGA,PER_100_3P,PER_100_3PA,PER_100_FT,PER_100_FTA,PER_100_ORB,PER_100_DRB,PER_100_TRB,PER_100_AST,PER_100_STL,PER_100_BLK,PER_100_TOV,PER_100_PF,PER_100_PTS,FG%,3PT%,FT%,PACE,EFG%,TOV%,ORB%,FT/FGA,ORTG
1,2018-2019,NBA,26.3,6-7,218.0,1230,40.8,88.6,11.3,31.8,17.6,22.9,10.3,34.6,44.8,24.4,7.6,4.9,14.0,20.8,110.4,0.461,0.355,0.766,100.0,0.524,12.4,22.9,0.198,110.4
2,2017-2018,NBA,26.4,6-7,219.0,1230,40.5,87.9,10.7,29.6,17.0,22.1,9.9,34.5,44.4,23.7,7.9,4.9,14.6,20.3,108.6,0.46,0.362,0.767,97.3,0.521,13.0,22.3,0.193,108.6
3,2016-2017,NBA,26.6,6-7,220.0,1230,40.2,88.0,9.9,27.8,18.4,23.8,10.4,34.4,44.8,23.3,7.9,4.9,14.4,20.5,108.8,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8
4,2015-2016,NBA,26.7,6-7,221.0,1230,39.6,87.6,8.8,25.0,18.3,24.2,10.8,34.6,45.3,23.1,8.1,5.1,14.9,21.0,106.4,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4
5,2014-2015,NBA,26.7,6-7,222.0,1230,39.6,88.3,8.3,23.7,18.1,24.1,11.5,34.2,45.7,23.3,8.2,5.1,15.2,21.4,105.6,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6
6,2013-2014,NBA,26.5,6-7,223.0,1230,39.8,87.6,8.2,22.7,18.8,24.9,11.5,33.6,45.1,23.2,8.1,5.0,15.5,21.9,106.6,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215,106.6
7,2012-2013,NBA,26.7,6-7,223.0,1229,40.1,88.5,7.7,21.5,18.0,23.9,12.0,33.4,45.4,23.9,8.4,5.5,15.7,21.4,105.8,0.453,0.359,0.753,92.0,0.496,13.7,26.5,0.204,105.8
8,2011-2012,NBA,26.6,6-7,223.0,990,39.6,88.5,7.0,20.0,18.4,24.4,12.4,33.5,45.8,22.8,8.3,5.5,15.8,21.3,104.6,0.448,0.349,0.752,91.3,0.487,13.8,27.0,0.208,104.6
9,2010-2011,NBA,26.6,6-7,223.0,1230,40.1,87.5,7.0,19.4,20.0,26.3,11.8,32.8,44.6,23.2,7.9,5.2,15.4,22.3,107.3,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3
10,2009-2010,NBA,26.6,6-7,222.0,1230,40.4,87.5,6.9,19.4,19.9,26.3,11.7,32.9,44.7,22.8,7.7,5.2,15.2,22.3,107.6,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6
11,2008-2009,NBA,26.6,6-7,221.0,1230,40.2,87.7,7.2,19.6,20.7,26.8,12.0,32.8,44.7,22.7,7.9,5.2,15.2,22.8,108.3,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3
12,2007-2008,NBA,26.8,6-7,220.0,1230,40.1,87.7,7.1,19.5,20.3,26.8,12.0,33.1,45.2,23.4,7.8,5.1,15.2,22.6,107.5,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5
13,2006-2007,NBA,26.6,6-7,219.0,1230,39.4,85.9,6.5,18.3,21.1,28.1,12.0,32.3,44.3,22.9,7.8,5.0,16.3,24.0,106.5,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5
14,2005-2006,NBA,26.5,6-7,220.0,1230,39.2,86.5,6.3,17.5,21.5,28.8,12.2,32.6,44.8,22.6,7.8,5.1,15.8,24.9,106.2,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2
15,2004-2005,NBA,26.9,6-7,220.0,1230,39.2,87.7,6.1,17.2,21.5,28.4,13.1,32.6,45.7,23.2,8.2,5.3,15.8,24.7,106.1,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1
16,2003-2004,NBA,27.0,6-7,219.0,1189,38.6,88.0,5.7,16.4,20.1,26.7,13.3,33.2,46.5,23.5,8.7,5.6,16.5,23.6,102.9,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9
17,2002-2003,NBA,27.2,6-7,219.0,1189,38.9,88.1,5.6,16.0,20.2,26.6,13.1,33.0,46.1,23.4,8.7,5.5,16.3,23.7,103.6,0.442,0.349,0.758,91.0,0.474,14.0,28.5,0.229,103.6
18,2001-2002,NBA,27.4,6-7,217.0,1189,39.6,89.0,5.7,16.1,19.6,26.1,13.4,33.0,46.4,24.0,8.5,5.7,15.8,23.2,104.5,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5
19,2000-2001,NBA,27.7,6-7,216.0,1189,38.8,87.6,5.3,14.9,20.2,27.0,13.0,33.1,46.1,23.7,8.5,5.7,16.4,24.3,103.0,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103.0
20,1999-1900,NBA,27.8,6-7,216.0,1189,39.3,87.6,5.2,14.6,20.2,27.0,13.3,32.6,45.8,23.9,8.5,5.5,16.5,24.9,104.1,0.449,0.353,0.75,93.1,0.478,14.2,28.9,0.231,104.1
21,1998-1999,NBA,27.9,6-7,215.0,725,38.1,87.3,5.0,14.7,21.0,28.8,14.0,32.4,46.5,23.1,9.3,5.5,17.1,24.8,102.2,0.437,0.339,0.728,88.9,0.466,14.6,30.2,0.24,102.2
22,1997-1998,NBA,27.7,6-7,214.0,1189,39.5,87.6,4.8,14.0,21.3,28.9,14.3,31.3,45.7,24.2,9.2,5.6,17.0,24.6,105.0,0.45,0.346,0.737,90.3,0.478,14.5,31.4,0.243,105.0
23,1996-1997,NBA,27.7,6-7,213.0,1189,39.7,87.3,6.7,18.5,20.6,27.9,13.9,31.3,45.2,24.3,9.0,5.4,17.2,24.3,106.7,0.455,0.36,0.738,90.1,0.493,14.8,30.8,0.236,106.7
24,1995-1996,NBA,27.5,6-7,213.0,1189,40.1,86.7,6.4,17.4,21.1,28.6,13.7,31.0,44.6,24.5,8.6,5.5,17.1,24.9,107.6,0.462,0.367,0.74,91.8,0.499,14.7,30.6,0.243,107.6
25,1994-1995,NBA,27.2,6-7,212.0,1107,40.6,87.0,5.9,16.3,21.3,28.9,13.9,30.4,44.4,24.9,8.8,5.5,17.0,25.1,108.3,0.466,0.359,0.737,92.9,0.5,14.6,31.4,0.245,108.3
26,1993-1994,NBA,27.2,6-7,210.0,1107,41.2,88.4,3.5,10.4,20.5,27.9,14.5,30.5,45.0,25.5,9.3,5.5,16.7,23.2,106.3,0.466,0.333,0.734,95.1,0.485,14.3,32.2,0.232,106.3
27,1992-1993,NBA,27.1,6-7,210.0,1107,41.7,88.2,3.1,9.2,21.5,28.4,14.2,30.1,44.3,25.4,8.8,5.4,16.3,23.8,108.0,0.473,0.336,0.754,96.8,0.491,14.0,32.0,0.243,108.0
28,1991-1992,NBA,27.2,6-7,208.0,1107,42.4,89.7,2.6,7.8,20.8,27.4,14.7,30.1,44.9,25.1,8.9,5.7,16.0,22.8,108.2,0.472,0.331,0.759,96.6,0.487,13.6,32.9,0.232,108.2
29,1990-1991,NBA,27.2,6-7,209.0,1107,42.0,88.5,2.3,7.2,21.6,28.3,14.2,29.7,43.9,25.1,8.7,5.3,16.3,23.5,107.9,0.474,0.32,0.765,97.8,0.487,13.9,32.3,0.245,107.9
30,1989-1990,NBA,27.1,6-7,208.0,1107,42.0,88.1,2.2,6.7,22.0,28.8,14.0,29.6,43.6,25.1,8.6,5.1,16.2,23.5,108.1,0.476,0.331,0.764,98.3,0.489,13.9,32.1,0.25,108.1
31,1988-1989,NBA,26.9,6-7,208.0,1025,41.9,87.8,2.1,6.5,21.8,28.4,14.3,29.0,43.4,25.2,9.0,5.3,17.0,23.4,107.8,0.477,0.323,0.768,100.6,0.489,14.5,33.0,0.249,107.8
32,1987-1988,NBA,26.9,6-7,209.0,943,42.1,87.6,1.6,5.0,22.3,29.1,14.2,29.1,43.3,25.7,8.5,5.4,16.7,24.1,108.0,0.48,0.316,0.766,99.6,0.489,14.3,32.8,0.254,108.0
33,1986-1987,NBA,26.6,6-7,209.0,943,42.0,87.5,1.4,4.7,22.9,30.0,14.5,28.9,43.4,25.6,8.5,5.4,16.7,24.2,108.3,0.48,0.301,0.763,100.8,0.488,14.3,33.4,0.262,108.3
34,1985-1986,NBA,26.8,6-7,208.0,943,42.0,86.2,0.9,3.2,22.3,29.4,13.8,28.6,42.4,25.3,8.5,5.1,17.4,24.5,107.2,0.487,0.282,0.756,102.1,0.493,14.9,32.4,0.258,107.2
35,1984-1985,NBA,26.4,6-7,207.0,943,42.6,86.7,0.9,3.1,21.8,28.6,13.9,28.4,42.3,25.6,8.3,5.2,17.4,24.3,107.9,0.491,0.282,0.764,102.1,0.496,14.9,32.9,0.252,107.9
36,1983-1984,NBA,26.4,6-7,206.0,943,42.5,86.4,0.6,2.3,22.0,29.0,13.9,28.2,42.1,25.6,8.3,5.2,17.5,25.2,107.6,0.492,0.25,0.76,101.4,0.495,15.0,33.0,0.255,107.6
37,1982-1983,NBA,26.1,6-7,205.0,943,42.0,86.5,0.5,2.2,20.2,27.3,14.3,28.6,42.9,25.0,8.6,5.4,18.4,24.8,104.7,0.485,0.238,0.74,103.1,0.488,15.8,33.4,0.233,104.7
38,1981-1982,NBA,26.2,6-7,205.0,943,42.7,86.9,0.6,2.2,21.0,28.1,14.1,28.7,42.8,24.8,8.4,5.3,17.5,25.8,106.9,0.491,0.262,0.746,100.9,0.495,15.0,33.0,0.241,106.9
39,1980-1981,NBA,26.2,6-7,205.0,943,41.9,86.3,0.5,2.0,21.2,28.2,14.2,28.2,42.4,24.9,8.8,5.2,18.3,24.5,105.5,0.486,0.245,0.751,101.8,0.489,15.6,33.5,0.245,105.5
40,1979-1980,NBA,26.4,6-6,204.0,902,42.0,87.3,0.7,2.7,20.5,26.8,14.5,28.8,43.3,24.9,9.1,5.1,18.2,23.5,105.3,0.481,0.28,0.764,103.1,0.486,15.5,33.5,0.235,105.3
41,1978-1979,NBA,26.3,6-6,203.0,902,41.9,86.3,,,20.0,26.6,14.0,28.6,42.5,24.2,8.6,5.0,18.6,23.8,103.8,0.485,,0.752,105.8,0.485,16.0,32.8,0.232,103.8
42,1977-1978,NBA,26.2,6-6,204.0,902,40.5,86.4,,,19.9,26.4,13.9,29.9,43.8,23.3,8.9,4.8,18.7,23.4,100.9,0.469,,0.752,106.7,0.469,16.0,31.8,0.23,100.9
43,1976-1977,NBA,26.1,6-6,204.0,902,40.0,86.0,,,19.5,25.9,14.0,30.0,44.0,22.3,8.8,4.7,19.2,23.6,99.5,0.465,,0.751,106.5,0.465,16.5,31.8,0.226,99.5
44,1975-1976,NBA,26.5,6-6,204.0,738,39.6,86.4,,,19.1,25.4,13.5,31.1,44.6,21.7,8.4,4.2,18.6,23.4,98.3,0.458,,0.751,105.5,0.458,16.0,30.3,0.221,98.3
45,1974-1975,NBA,26.7,6-6,203.0,738,39.7,86.7,,,18.3,24.0,13.5,31.3,44.8,22.7,8.4,4.1,18.9,23.1,97.7,0.457,,0.765,104.5,0.457,16.3,30.2,0.211,97.7
46,1973-1974,NBA,26.9,6-6,205.0,697,39.8,86.7,,,18.1,23.5,13.6,31.0,44.6,22.8,8.0,4.3,19.2,22.0,97.7,0.459,,0.771,107.8,0.459,16.5,30.5,0.209,97.7
47,1972-1973,NBA,26.7,6-6,205.0,697,,,,,,,,,,,,,,,,0.456,,0.758,,0.456,,,0.198,
48,1971-1972,NBA,26.6,6-6,206.0,697,,,,,,,,,,,,,,,,0.455,,0.748,,0.455,,,0.244,
49,1970-1971,NBA,26.6,6-6,205.0,697,,,,,,,,,,,,,,,,0.449,,0.745,,0.449,,,0.248,
50,1969-1970,NBA,26.8,6-6,205.0,574,,,,,,,,,,,,,,,,0.46,,0.751,,0.46,,,0.255,
51,1968-1969,NBA,26.9,6-6,207.0,574,,,,,,,,,,,,,,,,0.441,,0.714,,0.441,,,0.252,
52,1967-1968,NBA,26.8,6-6,206.0,492,,,,,,,,,,,,,,,,0.446,,0.72,,0.446,,,0.265,
53,1966-1967,NBA,26.6,6-6,206.0,405,,,,,,,,,,,,,,,,0.441,,0.732,,0.441,,,0.257,
54,1965-1966,NBA,26.6,6-6,207.0,360,,,,,,,,,,,,,,,,0.433,,0.727,,0.433,,,0.262,
55,1964-1965,NBA,26.4,6-6,208.0,360,,,,,,,,,,,,,,,,0.426,,0.721,,0.426,,,0.257,
56,1963-1964,NBA,26.4,6-6,207.0,360,,,,,,,,,,,,,,,,0.433,,0.722,,0.433,,,0.255,
57,1962-1963,NBA,26.3,6-6,205.0,360,,,,,,,,,,,,,,,,0.441,,0.727,,0.441,,,0.258,
58,1961-1962,NBA,26.4,6-5,205.0,360,,,,,,,,,,,,,,,,0.426,,0.727,,0.426,,,0.25,
59,1960-1961,NBA,26.4,6-5,205.0,316,,,,,,,,,,,,,,,,0.415,,0.733,,0.415,,,0.25,
60,1959-1960,NBA,26.5,6-5,204.0,300,,,,,,,,,,,,,,,,0.41,,0.735,,0.41,,,0.242,
61,1958-1959,NBA,26.4,6-5,202.0,288,,,,,,,,,,,,,,,,0.395,,0.756,,0.395,,,0.268,
62,1957-1958,NBA,26.8,6-5,201.0,288,,,,,,,,,,,,,,,,0.383,,0.746,,0.383,,,0.281,
63,1956-1957,NBA,26.2,6-5,201.0,288,,,,,,,,,,,,,,,,0.38,,0.751,,0.38,,,0.293,
64,1955-1956,NBA,26.3,6-5,199.0,288,,,,,,,,,,,,,,,,0.387,,0.745,,0.387,,,0.31,
65,1954-1955,NBA,26.7,6-5,197.0,288,,,,,,,,,,,,,,,,0.385,,0.738,,0.385,,,0.307,
66,1953-1954,NBA,26.4,6-4,197.0,324,,,,,,,,,,,,,,,,0.372,,0.709,,0.372,,,0.311,
67,1952-1953,NBA,26.4,6-4,196.0,351,,,,,,,,,,,,,,,,0.37,,0.716,,0.37,,,0.333,
68,1951-1952,NBA,26.3,6-4,195.0,330,,,,,,,,,,,,,,,,0.367,,0.735,,0.367,,,0.302,
69,1950-1951,NBA,,,,354,,,,,,,,,,,,,,,,0.357,,0.733,,0.357,,,0.293,
70,1949-1950,NBA,,,,561,,,,,,,,,,,,,,,,0.34,,0.714,,0.34,,,0.284,
71,1948-1949,BAA,,,,360,,,,,,,,,,,,,,,,0.327,,0.703,,0.327,,,0.248,
72,1947-1948,BAA,,,,192,,,,,,,,,,,,,,,,0.284,,0.675,,0.284,,,0.19,
73,1946-1947,BAA,,,,331,,,,,,,,,,,,,,,,0.279,,0.641,,0.279,,,0.171,
